Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.065, 0.065, 0.554, 0.521, 0.172, 0.059, 0.597, 0.059] | Action Distribution: FORWARD: 0.1927 | TURN_LEFT: 0.1489 | TURN_RIGHT: 0.1417 | FORWARD_LEFT: 0.1520 | FORWARD_RIGHT: 0.1428 | BACKWARD: 0.2218 | Selected: FORWARD (prob: 0.1927)
Episode 1 | Step 2 | State: [0.064, 0.064, 0.600, 0.523, 0.232, 0.059, 0.591, 0.059] | Action Distribution: FORWARD: 0.1946 | TURN_LEFT: 0.1472 | TURN_RIGHT: 0.1391 | FORWARD_LEFT: 0.1482 | FORWARD_RIGHT: 0.1435 | BACKWARD: 0.2274 | Selected: FORWARD (prob: 0.1946)
Episode 1 | Step 3 | State: [0.064, 0.064, 0.702, 0.523, 0.344, 0.080, 0.578, 0.059] | Action Distribution: FORWARD: 0.1977 | TURN_LEFT: 0.1458 | TURN_RIGHT: 0.1344 | FORWARD_LEFT: 0.1400 | FORWARD_RIGHT: 0.1430 | BACKWARD: 0.2392 | Selected: FORWARD_LEFT (prob: 0.1400)
Episode 1 | Step 4 | State: [0.064, 0.064, 0.809, 0.523, 0.764, 0.081, 0.578, 0.059] | Action Distribution: FORWARD: 0.1908 | TURN_LEFT: 0.1464 | TURN_RIGHT: 0.1237 | FORWARD_LEFT: 0.1264 | FORWARD_RIGHT: 0.1426 | BACKWARD: 0.2702 | Selected: TURN_RIGHT (prob: 0.1237)
Episode 1 | Step 5 | State: [0.108, 0.064, 0.851, 0.523, 0.532, 0.104, 0.578, 0.181] | Action Distribution: FORWARD: 0.1998 | TURN_LEFT: 0.1418 | TURN_RIGHT: 0.1253 | FORWARD_LEFT: 0.1287 | FORWARD_RIGHT: 0.1350 | BACKWARD: 0.2693 | Selected: BACKWARD (prob: 0.2693)
Episode 1 | Step 6 | State: [0.064, 0.064, 0.631, 0.523, 0.285, 0.080, 0.578, 0.059] | Action Distribution: FORWARD: 0.1955 | TURN_LEFT: 0.1471 | TURN_RIGHT: 0.1374 | FORWARD_LEFT: 0.1447 | FORWARD_RIGHT: 0.1437 | BACKWARD: 0.2316 | Selected: FORWARD_RIGHT (prob: 0.1437)
Episode 1 | Step 7 | State: [0.176, 0.065, 0.838, 0.522, 0.263, 0.103, 0.579, 0.299] | Action Distribution: FORWARD: 0.2075 | TURN_LEFT: 0.1409 | TURN_RIGHT: 0.1261 | FORWARD_LEFT: 0.1346 | FORWARD_RIGHT: 0.1293 | BACKWARD: 0.2616 | Selected: TURN_RIGHT (prob: 0.1261)
Episode 1 | Step 8 | State: [0.264, 0.064, 0.873, 0.523, 0.058, 0.083, 0.578, 0.440] | Action Distribution: FORWARD: 0.2139 | TURN_LEFT: 0.1429 | TURN_RIGHT: 0.1261 | FORWARD_LEFT: 0.1372 | FORWARD_RIGHT: 0.1212 | BACKWARD: 0.2587 | Selected: FORWARD_RIGHT (prob: 0.1212)
Episode 1 | Step 9 | State: [0.351, 0.064, 1.000, 0.538, 0.058, 0.111, 0.578, 1.000] | Action Distribution: FORWARD: 0.2278 | TURN_LEFT: 0.1397 | TURN_RIGHT: 0.1068 | FORWARD_LEFT: 0.1257 | FORWARD_RIGHT: 0.1058 | BACKWARD: 0.2942 | Selected: FORWARD (prob: 0.2278)
Episode 1 | Step 10 | State: [0.248, 0.064, 1.000, 0.540, 0.059, 0.151, 0.577, 1.000] | Action Distribution: FORWARD: 0.2272 | TURN_LEFT: 0.1408 | TURN_RIGHT: 0.1068 | FORWARD_LEFT: 0.1259 | FORWARD_RIGHT: 0.1077 | BACKWARD: 0.2917 | Selected: BACKWARD (prob: 0.2917)
Episode 2 | Step 1 | State: [0.354, 0.064, 1.000, 0.538, 0.058, 0.110, 0.578, 1.000] | Action Distribution: FORWARD: 0.2278 | TURN_LEFT: 0.1397 | TURN_RIGHT: 0.1068 | FORWARD_LEFT: 0.1257 | FORWARD_RIGHT: 0.1057 | BACKWARD: 0.2943 | Selected: FORWARD_LEFT (prob: 0.1257)
