Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.032, 0.032, 0.000, 0.000, 0.086, 0.029, 0.299, 0.030] | Action Distribution: FORWARD: 0.1623 | TURN_LEFT: 0.1697 | TURN_RIGHT: 0.1673 | FORWARD_LEFT: 0.1651 | FORWARD_RIGHT: 0.1678 | BACKWARD: 0.1677 | Selected: BACKWARD (prob: 0.1677)
Episode 1 | Step 2 | State: [0.032, 0.045, 0.000, 0.000, 0.069, 0.029, 0.299, 0.030] | Action Distribution: FORWARD: 0.1625 | TURN_LEFT: 0.1701 | TURN_RIGHT: 0.1677 | FORWARD_LEFT: 0.1645 | FORWARD_RIGHT: 0.1678 | BACKWARD: 0.1674 | Selected: BACKWARD (prob: 0.1674)
Episode 1 | Step 3 | State: [0.032, 0.049, 0.000, 0.000, 0.060, 0.029, 0.302, 0.030] | Action Distribution: FORWARD: 0.1626 | TURN_LEFT: 0.1703 | TURN_RIGHT: 0.1678 | FORWARD_LEFT: 0.1642 | FORWARD_RIGHT: 0.1678 | BACKWARD: 0.1672 | Selected: FORWARD (prob: 0.1626)
Episode 1 | Step 4 | State: [0.033, 0.046, 0.000, 0.000, 0.069, 0.029, 0.302, 0.029] | Action Distribution: FORWARD: 0.1625 | TURN_LEFT: 0.1701 | TURN_RIGHT: 0.1677 | FORWARD_LEFT: 0.1644 | FORWARD_RIGHT: 0.1678 | BACKWARD: 0.1674 | Selected: FORWARD_LEFT (prob: 0.1644)
Episode 1 | Step 5 | State: [0.032, 0.032, 0.000, 0.000, 0.107, 0.029, 0.301, 0.030] | Action Distribution: FORWARD: 0.1620 | TURN_LEFT: 0.1692 | TURN_RIGHT: 0.1669 | FORWARD_LEFT: 0.1657 | FORWARD_RIGHT: 0.1679 | BACKWARD: 0.1682 | Selected: TURN_LEFT (prob: 0.1692)
Episode 1 | Step 6 | State: [0.032, 0.032, 0.000, 0.000, 0.130, 0.029, 0.306, 0.030] | Action Distribution: FORWARD: 0.1614 | TURN_LEFT: 0.1687 | TURN_RIGHT: 0.1666 | FORWARD_LEFT: 0.1663 | FORWARD_RIGHT: 0.1681 | BACKWARD: 0.1689 | Selected: FORWARD_RIGHT (prob: 0.1681)
Episode 1 | Step 7 | State: [0.032, 0.032, 0.000, 0.000, 0.150, 0.029, 0.296, 0.030] | Action Distribution: FORWARD: 0.1610 | TURN_LEFT: 0.1683 | TURN_RIGHT: 0.1665 | FORWARD_LEFT: 0.1668 | FORWARD_RIGHT: 0.1682 | BACKWARD: 0.1692 | Selected: FORWARD (prob: 0.1610)
Episode 1 | Step 8 | State: [0.032, 0.032, 0.000, 0.000, 0.255, 0.040, 0.289, 0.030] | Action Distribution: FORWARD: 0.1590 | TURN_LEFT: 0.1675 | TURN_RIGHT: 0.1658 | FORWARD_LEFT: 0.1681 | FORWARD_RIGHT: 0.1682 | BACKWARD: 0.1713 | Selected: BACKWARD (prob: 0.1713)
Episode 1 | Step 9 | State: [0.032, 0.032, 0.000, 0.000, 0.149, 0.029, 0.296, 0.030] | Action Distribution: FORWARD: 0.1611 | TURN_LEFT: 0.1683 | TURN_RIGHT: 0.1665 | FORWARD_LEFT: 0.1668 | FORWARD_RIGHT: 0.1682 | BACKWARD: 0.1692 | Selected: TURN_RIGHT (prob: 0.1665)
Episode 1 | Step 10 | State: [0.032, 0.032, 0.000, 0.000, 0.110, 0.029, 0.296, 0.030] | Action Distribution: FORWARD: 0.1619 | TURN_LEFT: 0.1690 | TURN_RIGHT: 0.1668 | FORWARD_LEFT: 0.1659 | FORWARD_RIGHT: 0.1680 | BACKWARD: 0.1683 | Selected: FORWARD_LEFT (prob: 0.1659)
Episode 2 | Step 1 | State: [0.032, 0.032, 0.000, 0.000, 0.226, 0.040, 0.289, 0.030] | Action Distribution: FORWARD: 0.1596 | TURN_LEFT: 0.1677 | TURN_RIGHT: 0.1660 | FORWARD_LEFT: 0.1679 | FORWARD_RIGHT: 0.1680 | BACKWARD: 0.1708 | Selected: TURN_RIGHT (prob: 0.1660)
