Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: FORWARD (prob: 0.1667)
Episode 1 | Step 2 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: FORWARD_LEFT (prob: 0.1667)
Episode 1 | Step 3 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: FORWARD (prob: 0.1667)
Episode 1 | Step 4 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: TURN_RIGHT (prob: 0.1667)
Episode 1 | Step 5 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: FORWARD_RIGHT (prob: 0.1667)
Episode 1 | Step 6 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: TURN_LEFT (prob: 0.1667)
Episode 1 | Step 7 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: TURN_RIGHT (prob: 0.1667)
Episode 1 | Step 8 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: BACKWARD (prob: 0.1667)
Episode 1 | Step 9 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: BACKWARD (prob: 0.1667)
Episode 1 | Step 10 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: FORWARD_RIGHT (prob: 0.1667)
Episode 2 | Step 1 | State: [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000] | Action Distribution: FORWARD: 0.1667 | TURN_LEFT: 0.1667 | TURN_RIGHT: 0.1667 | FORWARD_LEFT: 0.1667 | FORWARD_RIGHT: 0.1667 | BACKWARD: 0.1667 | Selected: FORWARD_RIGHT (prob: 0.1667)
