Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.086, 0.167, 0.000, 0.000, 1.000, 1.000, 0.617, 0.059] | Action Distribution: FORWARD: 0.1339 | TURN_LEFT: 0.1447 | TURN_RIGHT: 0.1762 | FORWARD_LEFT: 0.1968 | FORWARD_RIGHT: 0.1598 | BACKWARD: 0.1886 | Selected: FORWARD_RIGHT (prob: 0.1598)
Episode 1 | Step 2 | State: [0.086, 0.163, 0.000, 0.000, 1.000, 1.000, 0.620, 0.058] | Action Distribution: FORWARD: 0.1339 | TURN_LEFT: 0.1448 | TURN_RIGHT: 0.1762 | FORWARD_LEFT: 0.1968 | FORWARD_RIGHT: 0.1597 | BACKWARD: 0.1886 | Selected: FORWARD_LEFT (prob: 0.1968)
Episode 1 | Step 3 | State: [0.086, 0.165, 0.000, 0.000, 1.000, 1.000, 0.620, 0.059] | Action Distribution: FORWARD: 0.1339 | TURN_LEFT: 0.1448 | TURN_RIGHT: 0.1762 | FORWARD_LEFT: 0.1968 | FORWARD_RIGHT: 0.1597 | BACKWARD: 0.1886 | Selected: TURN_LEFT (prob: 0.1448)
Episode 1 | Step 4 | State: [0.086, 0.175, 0.000, 0.000, 1.000, 1.000, 0.615, 0.059] | Action Distribution: FORWARD: 0.1340 | TURN_LEFT: 0.1445 | TURN_RIGHT: 0.1762 | FORWARD_LEFT: 0.1967 | FORWARD_RIGHT: 0.1599 | BACKWARD: 0.1887 | Selected: BACKWARD (prob: 0.1887)
Episode 1 | Step 5 | State: [0.142, 0.191, 0.000, 0.000, 1.000, 0.731, 0.628, 0.059] | Action Distribution: FORWARD: 0.1383 | TURN_LEFT: 0.1466 | TURN_RIGHT: 0.1769 | FORWARD_LEFT: 0.1955 | FORWARD_RIGHT: 0.1593 | BACKWARD: 0.1833 | Selected: FORWARD_RIGHT (prob: 0.1593)
Episode 1 | Step 6 | State: [0.085, 0.166, 0.000, 0.000, 1.000, 1.000, 0.616, 0.059] | Action Distribution: FORWARD: 0.1339 | TURN_LEFT: 0.1447 | TURN_RIGHT: 0.1762 | FORWARD_LEFT: 0.1968 | FORWARD_RIGHT: 0.1598 | BACKWARD: 0.1886 | Selected: FORWARD_LEFT (prob: 0.1968)
Episode 1 | Step 7 | State: [0.085, 0.166, 0.000, 0.000, 1.000, 1.000, 0.619, 0.059] | Action Distribution: FORWARD: 0.1339 | TURN_LEFT: 0.1447 | TURN_RIGHT: 0.1762 | FORWARD_LEFT: 0.1968 | FORWARD_RIGHT: 0.1597 | BACKWARD: 0.1886 | Selected: TURN_RIGHT (prob: 0.1762)
Episode 1 | Step 8 | State: [0.065, 0.161, 0.000, 0.000, 1.000, 1.000, 0.615, 1.000] | Action Distribution: FORWARD: 0.1216 | TURN_LEFT: 0.1347 | TURN_RIGHT: 0.1830 | FORWARD_LEFT: 0.2182 | FORWARD_RIGHT: 0.1576 | BACKWARD: 0.1849 | Selected: FORWARD (prob: 0.1216)
Episode 1 | Step 9 | State: [0.085, 0.168, 0.000, 0.000, 1.000, 1.000, 0.619, 1.000] | Action Distribution: FORWARD: 0.1217 | TURN_LEFT: 0.1343 | TURN_RIGHT: 0.1833 | FORWARD_LEFT: 0.2179 | FORWARD_RIGHT: 0.1576 | BACKWARD: 0.1851 | Selected: TURN_RIGHT (prob: 0.1833)
Episode 1 | Step 10 | State: [0.064, 0.162, 0.000, 0.000, 1.000, 1.000, 0.614, 1.000] | Action Distribution: FORWARD: 0.1216 | TURN_LEFT: 0.1347 | TURN_RIGHT: 0.1830 | FORWARD_LEFT: 0.2182 | FORWARD_RIGHT: 0.1576 | BACKWARD: 0.1849 | Selected: FORWARD (prob: 0.1216)
Episode 1 | Step 11 | State: [0.085, 0.170, 0.000, 0.000, 1.000, 1.000, 0.619, 1.000] | Action Distribution: FORWARD: 0.1217 | TURN_LEFT: 0.1343 | TURN_RIGHT: 0.1833 | FORWARD_LEFT: 0.2179 | FORWARD_RIGHT: 0.1577 | BACKWARD: 0.1851 | Selected: TURN_LEFT (prob: 0.1343)
