Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.064, 0.182, 0.000, 0.000, 0.058, 1.000, 0.578, 0.059] | Action Distribution: FORWARD: 0.1721 | TURN_LEFT: 0.1500 | TURN_RIGHT: 0.1783 | FORWARD_LEFT: 0.1752 | FORWARD_RIGHT: 0.1287 | BACKWARD: 0.1958 | Selected: FORWARD_LEFT (prob: 0.1752)
Episode 1 | Step 2 | State: [0.064, 0.551, 0.000, 0.000, 0.058, 0.622, 0.867, 0.059] | Action Distribution: FORWARD: 0.1698 | TURN_LEFT: 0.1519 | TURN_RIGHT: 0.1553 | FORWARD_LEFT: 0.1955 | FORWARD_RIGHT: 0.1392 | BACKWARD: 0.1883 | Selected: TURN_LEFT (prob: 0.1519)
Episode 1 | Step 3 | State: [0.064, 0.225, 0.000, 0.000, 0.058, 0.684, 0.904, 0.059] | Action Distribution: FORWARD: 0.1724 | TURN_LEFT: 0.1511 | TURN_RIGHT: 0.1647 | FORWARD_LEFT: 0.1880 | FORWARD_RIGHT: 0.1326 | BACKWARD: 0.1912 | Selected: FORWARD (prob: 0.1724)
Episode 1 | Step 4 | State: [0.064, 0.170, 0.000, 0.000, 0.335, 0.110, 0.578, 0.234] | Action Distribution: FORWARD: 0.1702 | TURN_LEFT: 0.1634 | TURN_RIGHT: 0.1663 | FORWARD_LEFT: 0.1842 | FORWARD_RIGHT: 0.1344 | BACKWARD: 0.1815 | Selected: FORWARD_RIGHT (prob: 0.1344)
Episode 1 | Step 5 | State: [0.064, 0.064, 0.000, 0.000, 1.000, 0.170, 0.578, 1.000] | Action Distribution: FORWARD: 0.1746 | TURN_LEFT: 0.1484 | TURN_RIGHT: 0.1734 | FORWARD_LEFT: 0.2098 | FORWARD_RIGHT: 0.0961 | BACKWARD: 0.1977 | Selected: FORWARD_LEFT (prob: 0.2098)
Episode 1 | Step 6 | State: [0.064, 0.251, 0.000, 0.000, 1.000, 1.000, 0.603, 1.000] | Action Distribution: FORWARD: 0.1888 | TURN_LEFT: 0.1335 | TURN_RIGHT: 0.1803 | FORWARD_LEFT: 0.1982 | FORWARD_RIGHT: 0.0960 | BACKWARD: 0.2032 | Selected: TURN_LEFT (prob: 0.1335)
Episode 1 | Step 7 | State: [0.064, 0.189, 0.000, 0.000, 1.000, 1.000, 0.629, 1.000] | Action Distribution: FORWARD: 0.1879 | TURN_LEFT: 0.1335 | TURN_RIGHT: 0.1819 | FORWARD_LEFT: 0.1957 | FORWARD_RIGHT: 0.0945 | BACKWARD: 0.2065 | Selected: BACKWARD (prob: 0.2065)
Episode 1 | Step 8 | State: [0.000, 1.000, 0.000, 0.000, 0.543, 0.281, 0.071, 0.347] | Action Distribution: FORWARD: 0.1642 | TURN_LEFT: 0.1532 | TURN_RIGHT: 0.1555 | FORWARD_LEFT: 0.2161 | FORWARD_RIGHT: 0.1406 | BACKWARD: 0.1704 | Selected: TURN_RIGHT (prob: 0.1555)
Episode 1 | Step 9 | State: [0.064, 1.000, 0.000, 0.000, 0.322, 0.106, 0.578, 0.236] | Action Distribution: FORWARD: 0.1656 | TURN_LEFT: 0.1638 | TURN_RIGHT: 0.1462 | FORWARD_LEFT: 0.2141 | FORWARD_RIGHT: 0.1366 | BACKWARD: 0.1738 | Selected: TURN_LEFT (prob: 0.1638)
Episode 1 | Step 10 | State: [0.064, 1.000, 0.000, 0.000, 0.333, 0.114, 0.578, 0.217] | Action Distribution: FORWARD: 0.1662 | TURN_LEFT: 0.1642 | TURN_RIGHT: 0.1463 | FORWARD_LEFT: 0.2131 | FORWARD_RIGHT: 0.1366 | BACKWARD: 0.1737 | Selected: FORWARD_RIGHT (prob: 0.1366)
Episode 1 | Step 11 | State: [0.064, 0.347, 0.000, 0.000, 1.000, 0.236, 0.578, 1.000] | Action Distribution: FORWARD: 0.1742 | TURN_LEFT: 0.1466 | TURN_RIGHT: 0.1694 | FORWARD_LEFT: 0.2195 | FORWARD_RIGHT: 0.0992 | BACKWARD: 0.1912 | Selected: FORWARD_RIGHT (prob: 0.0992)
Episode 1 | Step 12 | State: [0.219, 0.064, 0.000, 0.000, 1.000, 1.000, 0.605, 1.000] | Action Distribution: FORWARD: 0.1848 | TURN_LEFT: 0.1375 | TURN_RIGHT: 0.1879 | FORWARD_LEFT: 0.1863 | FORWARD_RIGHT: 0.0930 | BACKWARD: 0.2105 | Selected: FORWARD (prob: 0.1848)
Episode 1 | Step 13 | State: [0.171, 0.064, 0.000, 0.000, 1.000, 1.000, 0.605, 1.000] | Action Distribution: FORWARD: 0.1854 | TURN_LEFT: 0.1366 | TURN_RIGHT: 0.1872 | FORWARD_LEFT: 0.1873 | FORWARD_RIGHT: 0.0931 | BACKWARD: 0.2104 | Selected: BACKWARD (prob: 0.2104)
Episode 1 | Step 14 | State: [1.000, 0.064, 0.000, 0.000, 0.217, 0.218, 0.855, 0.177] | Action Distribution: FORWARD: 0.1577 | TURN_LEFT: 0.1789 | TURN_RIGHT: 0.1665 | FORWARD_LEFT: 0.1858 | FORWARD_RIGHT: 0.1295 | BACKWARD: 0.1817 | Selected: FORWARD (prob: 0.1577)
Episode 1 | Step 15 | State: [0.167, 0.117, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1861 | TURN_LEFT: 0.1364 | TURN_RIGHT: 0.1853 | FORWARD_LEFT: 0.1898 | FORWARD_RIGHT: 0.0943 | BACKWARD: 0.2080 | Selected: FORWARD (prob: 0.1861)
Episode 1 | Step 16 | State: [0.217, 0.064, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1849 | TURN_LEFT: 0.1380 | TURN_RIGHT: 0.1881 | FORWARD_LEFT: 0.1860 | FORWARD_RIGHT: 0.0936 | BACKWARD: 0.2095 | Selected: BACKWARD (prob: 0.2095)
Episode 1 | Step 17 | State: [0.065, 0.142, 0.000, 0.000, 0.058, 0.166, 0.586, 0.059] | Action Distribution: FORWARD: 0.1678 | TURN_LEFT: 0.1633 | TURN_RIGHT: 0.1596 | FORWARD_LEFT: 0.1837 | FORWARD_RIGHT: 0.1490 | BACKWARD: 0.1766 | Selected: TURN_LEFT (prob: 0.1633)
Episode 1 | Step 18 | State: [0.064, 0.154, 0.000, 0.000, 0.058, 0.157, 0.578, 0.059] | Action Distribution: FORWARD: 0.1676 | TURN_LEFT: 0.1635 | TURN_RIGHT: 0.1594 | FORWARD_LEFT: 0.1840 | FORWARD_RIGHT: 0.1494 | BACKWARD: 0.1761 | Selected: FORWARD_LEFT (prob: 0.1840)
Episode 1 | Step 19 | State: [0.066, 0.182, 0.000, 0.000, 0.057, 0.282, 0.625, 0.058] | Action Distribution: FORWARD: 0.1693 | TURN_LEFT: 0.1601 | TURN_RIGHT: 0.1602 | FORWARD_LEFT: 0.1847 | FORWARD_RIGHT: 0.1468 | BACKWARD: 0.1789 | Selected: TURN_RIGHT (prob: 0.1602)
Episode 1 | Step 20 | State: [0.064, 0.182, 0.000, 0.000, 0.058, 0.303, 0.612, 0.059] | Action Distribution: FORWARD: 0.1696 | TURN_LEFT: 0.1595 | TURN_RIGHT: 0.1609 | FORWARD_LEFT: 0.1841 | FORWARD_RIGHT: 0.1467 | BACKWARD: 0.1792 | Selected: TURN_LEFT (prob: 0.1595)
Episode 1 | Step 21 | State: [0.064, 0.181, 0.000, 0.000, 0.058, 0.283, 0.615, 0.059] | Action Distribution: FORWARD: 0.1694 | TURN_LEFT: 0.1601 | TURN_RIGHT: 0.1604 | FORWARD_LEFT: 0.1844 | FORWARD_RIGHT: 0.1469 | BACKWARD: 0.1788 | Selected: TURN_LEFT (prob: 0.1601)
Episode 1 | Step 22 | State: [0.064, 0.191, 0.000, 0.000, 0.058, 0.260, 0.617, 0.059] | Action Distribution: FORWARD: 0.1691 | TURN_LEFT: 0.1608 | TURN_RIGHT: 0.1597 | FORWARD_LEFT: 0.1849 | FORWARD_RIGHT: 0.1473 | BACKWARD: 0.1783 | Selected: FORWARD_RIGHT (prob: 0.1473)
Episode 1 | Step 23 | State: [0.064, 0.160, 0.000, 0.000, 1.000, 1.000, 0.616, 1.000] | Action Distribution: FORWARD: 0.1876 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1827 | FORWARD_LEFT: 0.1944 | FORWARD_RIGHT: 0.0943 | BACKWARD: 0.2073 | Selected: BACKWARD (prob: 0.2073)
Episode 1 | Step 24 | State: [0.000, 1.000, 0.000, 0.000, 1.000, 0.887, 1.000, 0.836] | Action Distribution: FORWARD: 0.1849 | TURN_LEFT: 0.1389 | TURN_RIGHT: 0.1644 | FORWARD_LEFT: 0.2216 | FORWARD_RIGHT: 0.0975 | BACKWARD: 0.1926 | Selected: FORWARD_RIGHT (prob: 0.0975)
Episode 1 | Step 25 | State: [0.064, 0.064, 0.000, 0.000, 1.000, 0.102, 0.578, 1.000] | Action Distribution: FORWARD: 0.1736 | TURN_LEFT: 0.1492 | TURN_RIGHT: 0.1723 | FORWARD_LEFT: 0.2114 | FORWARD_RIGHT: 0.0958 | BACKWARD: 0.1977 | Selected: FORWARD_RIGHT (prob: 0.0958)
Episode 1 | Step 26 | State: [0.129, 0.064, 0.000, 0.000, 1.000, 1.000, 0.651, 1.000] | Action Distribution: FORWARD: 0.1855 | TURN_LEFT: 0.1350 | TURN_RIGHT: 0.1864 | FORWARD_LEFT: 0.1890 | FORWARD_RIGHT: 0.0921 | BACKWARD: 0.2121 | Selected: BACKWARD (prob: 0.2121)
Episode 1 | Step 27 | State: [1.000, 0.000, 0.000, 0.000, 0.469, 0.347, 1.000, 0.226] | Action Distribution: FORWARD: 0.1587 | TURN_LEFT: 0.1741 | TURN_RIGHT: 0.1751 | FORWARD_LEFT: 0.1862 | FORWARD_RIGHT: 0.1139 | BACKWARD: 0.1920 | Selected: FORWARD_LEFT (prob: 0.1862)
Episode 1 | Step 28 | State: [0.098, 0.165, 0.000, 0.000, 0.253, 1.000, 0.687, 0.057] | Action Distribution: FORWARD: 0.1733 | TURN_LEFT: 0.1461 | TURN_RIGHT: 0.1777 | FORWARD_LEFT: 0.1756 | FORWARD_RIGHT: 0.1254 | BACKWARD: 0.2019 | Selected: BACKWARD (prob: 0.2019)
Episode 1 | Step 29 | State: [0.294, 0.751, 0.000, 0.000, 0.057, 0.400, 0.899, 0.124] | Action Distribution: FORWARD: 0.1625 | TURN_LEFT: 0.1617 | TURN_RIGHT: 0.1475 | FORWARD_LEFT: 0.1979 | FORWARD_RIGHT: 0.1436 | BACKWARD: 0.1868 | Selected: FORWARD (prob: 0.1625)
Episode 1 | Step 30 | State: [0.193, 0.152, 0.000, 0.000, 0.510, 1.000, 0.859, 0.054] | Action Distribution: FORWARD: 0.1732 | TURN_LEFT: 0.1446 | TURN_RIGHT: 0.1793 | FORWARD_LEFT: 0.1810 | FORWARD_RIGHT: 0.1219 | BACKWARD: 0.2001 | Selected: FORWARD (prob: 0.1732)
Episode 1 | Step 31 | State: [0.064, 0.208, 0.000, 0.000, 1.000, 1.000, 0.591, 1.000] | Action Distribution: FORWARD: 0.1884 | TURN_LEFT: 0.1338 | TURN_RIGHT: 0.1813 | FORWARD_LEFT: 0.1962 | FORWARD_RIGHT: 0.0956 | BACKWARD: 0.2047 | Selected: TURN_RIGHT (prob: 0.1813)
Episode 1 | Step 32 | State: [0.064, 0.254, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1889 | TURN_LEFT: 0.1338 | TURN_RIGHT: 0.1802 | FORWARD_LEFT: 0.1980 | FORWARD_RIGHT: 0.0965 | BACKWARD: 0.2025 | Selected: FORWARD_LEFT (prob: 0.1980)
Episode 1 | Step 33 | State: [0.064, 0.152, 0.000, 0.000, 1.000, 1.000, 0.625, 1.000] | Action Distribution: FORWARD: 0.1874 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1829 | FORWARD_LEFT: 0.1941 | FORWARD_RIGHT: 0.0940 | BACKWARD: 0.2079 | Selected: FORWARD_LEFT (prob: 0.1941)
Episode 1 | Step 34 | State: [0.064, 0.267, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1892 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1799 | FORWARD_LEFT: 0.1985 | FORWARD_RIGHT: 0.0967 | BACKWARD: 0.2020 | Selected: TURN_RIGHT (prob: 0.1799)
Episode 1 | Step 35 | State: [0.064, 0.274, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1893 | TURN_LEFT: 0.1337 | TURN_RIGHT: 0.1798 | FORWARD_LEFT: 0.1988 | FORWARD_RIGHT: 0.0968 | BACKWARD: 0.2017 | Selected: TURN_LEFT (prob: 0.1337)
