Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.064, 0.064, 0.000, 0.000, 0.172, 0.059, 0.594, 0.059] | Action Distribution: FORWARD: 0.1639 | TURN_LEFT: 0.1702 | TURN_RIGHT: 0.1799 | FORWARD_LEFT: 0.1643 | FORWARD_RIGHT: 0.1668 | BACKWARD: 0.1550 | Selected: BACKWARD (prob: 0.1550)
Episode 2 | Step 1 | State: [0.064, 1.000, 0.000, 0.000, 0.058, 0.195, 1.000, 0.320] | Action Distribution: FORWARD: 0.1613 | TURN_LEFT: 0.1577 | TURN_RIGHT: 0.1913 | FORWARD_LEFT: 0.1700 | FORWARD_RIGHT: 0.1793 | BACKWARD: 0.1403 | Selected: FORWARD_RIGHT (prob: 0.1793)
Episode 3 | Step 1 | State: [0.403, 0.064, 0.000, 0.000, 1.000, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1268 | TURN_LEFT: 0.1581 | TURN_RIGHT: 0.2230 | FORWARD_LEFT: 0.1446 | FORWARD_RIGHT: 0.1999 | BACKWARD: 0.1476 | Selected: FORWARD (prob: 0.1268)
Episode 4 | Step 1 | State: [0.090, 0.249, 0.000, 0.000, 1.000, 0.059, 0.578, 1.000] | Action Distribution: FORWARD: 0.1219 | TURN_LEFT: 0.1364 | TURN_RIGHT: 0.2123 | FORWARD_LEFT: 0.1521 | FORWARD_RIGHT: 0.2081 | BACKWARD: 0.1691 | Selected: TURN_LEFT (prob: 0.1364)
Episode 5 | Step 1 | State: [0.064, 0.241, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1206 | TURN_LEFT: 0.1535 | TURN_RIGHT: 0.2302 | FORWARD_LEFT: 0.1418 | FORWARD_RIGHT: 0.2082 | BACKWARD: 0.1456 | Selected: FORWARD (prob: 0.1206)
Episode 6 | Step 1 | State: [0.065, 0.155, 0.000, 0.000, 1.000, 1.000, 0.602, 1.000] | Action Distribution: FORWARD: 0.1212 | TURN_LEFT: 0.1543 | TURN_RIGHT: 0.2305 | FORWARD_LEFT: 0.1415 | FORWARD_RIGHT: 0.2057 | BACKWARD: 0.1469 | Selected: BACKWARD (prob: 0.1469)
Episode 7 | Step 1 | State: [0.064, 1.000, 0.000, 0.000, 0.058, 0.059, 0.776, 0.059] | Action Distribution: FORWARD: 0.1656 | TURN_LEFT: 0.1576 | TURN_RIGHT: 0.1865 | FORWARD_LEFT: 0.1665 | FORWARD_RIGHT: 0.1798 | BACKWARD: 0.1438 | Selected: FORWARD_RIGHT (prob: 0.1798)
Episode 8 | Step 1 | State: [0.124, 0.064, 0.000, 0.000, 0.058, 0.135, 0.588, 1.000] | Action Distribution: FORWARD: 0.1390 | TURN_LEFT: 0.1523 | TURN_RIGHT: 0.2088 | FORWARD_LEFT: 0.1656 | FORWARD_RIGHT: 0.1871 | BACKWARD: 0.1471 | Selected: TURN_RIGHT (prob: 0.2088)
Episode 9 | Step 1 | State: [0.089, 0.064, 0.000, 0.000, 0.058, 0.159, 0.600, 1.000] | Action Distribution: FORWARD: 0.1394 | TURN_LEFT: 0.1523 | TURN_RIGHT: 0.2073 | FORWARD_LEFT: 0.1663 | FORWARD_RIGHT: 0.1869 | BACKWARD: 0.1477 | Selected: BACKWARD (prob: 0.1477)
Episode 10 | Step 1 | State: [1.000, 0.086, 0.000, 0.000, 0.058, 0.086, 1.000, 0.082] | Action Distribution: FORWARD: 0.1523 | TURN_LEFT: 0.1756 | TURN_RIGHT: 0.2114 | FORWARD_LEFT: 0.1580 | FORWARD_RIGHT: 0.1754 | BACKWARD: 0.1273 | Selected: BACKWARD (prob: 0.1273)
Episode 11 | Step 1 | State: [0.482, 0.118, 0.000, 0.000, 0.058, 0.320, 0.578, 0.103] | Action Distribution: FORWARD: 0.1592 | TURN_LEFT: 0.1725 | TURN_RIGHT: 0.1983 | FORWARD_LEFT: 0.1644 | FORWARD_RIGHT: 0.1679 | BACKWARD: 0.1376 | Selected: BACKWARD (prob: 0.1376)
Episode 12 | Step 1 | State: [1.000, 0.092, 0.000, 0.000, 0.088, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1498 | TURN_LEFT: 0.1797 | TURN_RIGHT: 0.2087 | FORWARD_LEFT: 0.1581 | FORWARD_RIGHT: 0.1722 | BACKWARD: 0.1316 | Selected: FORWARD (prob: 0.1498)
Episode 13 | Step 1 | State: [0.124, 0.203, 0.000, 0.000, 0.058, 0.059, 0.578, 1.000] | Action Distribution: FORWARD: 0.1376 | TURN_LEFT: 0.1498 | TURN_RIGHT: 0.2078 | FORWARD_LEFT: 0.1646 | FORWARD_RIGHT: 0.1924 | BACKWARD: 0.1478 | Selected: TURN_RIGHT (prob: 0.2078)
