Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.065, 0.065, 0.000, 0.000, 0.083, 0.383, 0.579, 0.059] | Action Distribution: FORWARD: 0.1592 | TURN_LEFT: 0.1751 | TURN_RIGHT: 0.1766 | FORWARD_LEFT: 0.1715 | FORWARD_RIGHT: 0.1618 | BACKWARD: 0.1557 | Selected: TURN_RIGHT (prob: 0.1766)
Episode 1 | Step 2 | State: [0.065, 0.065, 0.000, 0.000, 0.106, 0.400, 0.582, 0.059] | Action Distribution: FORWARD: 0.1590 | TURN_LEFT: 0.1756 | TURN_RIGHT: 0.1764 | FORWARD_LEFT: 0.1714 | FORWARD_RIGHT: 0.1620 | BACKWARD: 0.1556 | Selected: FORWARD_RIGHT (prob: 0.1620)
Episode 1 | Step 3 | State: [0.064, 0.470, 0.000, 0.000, 1.000, 1.000, 0.594, 1.000] | Action Distribution: FORWARD: 0.1356 | TURN_LEFT: 0.1942 | TURN_RIGHT: 0.1889 | FORWARD_LEFT: 0.1776 | FORWARD_RIGHT: 0.1563 | BACKWARD: 0.1473 | Selected: FORWARD_RIGHT (prob: 0.1563)
Episode 1 | Step 4 | State: [0.065, 0.319, 0.000, 0.000, 1.000, 1.000, 0.582, 1.000] | Action Distribution: FORWARD: 0.1369 | TURN_LEFT: 0.1914 | TURN_RIGHT: 0.1881 | FORWARD_LEFT: 0.1753 | FORWARD_RIGHT: 0.1553 | BACKWARD: 0.1530 | Selected: BACKWARD (prob: 0.1530)
Episode 1 | Step 5 | State: [0.257, 0.064, 0.000, 0.000, 0.172, 0.059, 0.578, 0.103] | Action Distribution: FORWARD: 0.1562 | TURN_LEFT: 0.1853 | TURN_RIGHT: 0.1685 | FORWARD_LEFT: 0.1668 | FORWARD_RIGHT: 0.1715 | BACKWARD: 0.1517 | Selected: FORWARD (prob: 0.1562)
Episode 1 | Step 6 | State: [0.065, 0.274, 0.000, 0.000, 1.000, 0.674, 0.583, 1.000] | Action Distribution: FORWARD: 0.1381 | TURN_LEFT: 0.1962 | TURN_RIGHT: 0.1807 | FORWARD_LEFT: 0.1701 | FORWARD_RIGHT: 0.1597 | BACKWARD: 0.1553 | Selected: FORWARD (prob: 0.1381)
Episode 1 | Step 7 | State: [0.065, 0.347, 0.000, 0.000, 1.000, 1.000, 0.749, 1.000] | Action Distribution: FORWARD: 0.1362 | TURN_LEFT: 0.1948 | TURN_RIGHT: 0.1894 | FORWARD_LEFT: 0.1744 | FORWARD_RIGHT: 0.1560 | BACKWARD: 0.1492 | Selected: FORWARD_LEFT (prob: 0.1744)
Episode 1 | Step 8 | State: [0.064, 0.265, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1375 | TURN_LEFT: 0.1907 | TURN_RIGHT: 0.1877 | FORWARD_LEFT: 0.1743 | FORWARD_RIGHT: 0.1549 | BACKWARD: 0.1549 | Selected: TURN_RIGHT (prob: 0.1877)
Episode 1 | Step 9 | State: [0.064, 0.196, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1382 | TURN_LEFT: 0.1900 | TURN_RIGHT: 0.1875 | FORWARD_LEFT: 0.1729 | FORWARD_RIGHT: 0.1545 | BACKWARD: 0.1569 | Selected: TURN_LEFT (prob: 0.1900)
Episode 1 | Step 10 | State: [0.064, 0.337, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1368 | TURN_LEFT: 0.1917 | TURN_RIGHT: 0.1881 | FORWARD_LEFT: 0.1756 | FORWARD_RIGHT: 0.1554 | BACKWARD: 0.1524 | Selected: FORWARD_RIGHT (prob: 0.1554)
Episode 1 | Step 11 | State: [0.064, 0.528, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1351 | TURN_LEFT: 0.1952 | TURN_RIGHT: 0.1893 | FORWARD_LEFT: 0.1785 | FORWARD_RIGHT: 0.1564 | BACKWARD: 0.1455 | Selected: FORWARD (prob: 0.1351)
Episode 1 | Step 12 | State: [0.064, 0.543, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1349 | TURN_LEFT: 0.1956 | TURN_RIGHT: 0.1895 | FORWARD_LEFT: 0.1786 | FORWARD_RIGHT: 0.1565 | BACKWARD: 0.1450 | Selected: FORWARD (prob: 0.1349)
Episode 1 | Step 13 | State: [0.064, 0.537, 0.000, 0.000, 1.000, 1.000, 0.594, 1.000] | Action Distribution: FORWARD: 0.1349 | TURN_LEFT: 0.1957 | TURN_RIGHT: 0.1894 | FORWARD_LEFT: 0.1784 | FORWARD_RIGHT: 0.1565 | BACKWARD: 0.1450 | Selected: TURN_RIGHT (prob: 0.1894)
Episode 1 | Step 14 | State: [0.064, 0.592, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1344 | TURN_LEFT: 0.1967 | TURN_RIGHT: 0.1898 | FORWARD_LEFT: 0.1791 | FORWARD_RIGHT: 0.1566 | BACKWARD: 0.1434 | Selected: TURN_RIGHT (prob: 0.1898)
Episode 1 | Step 15 | State: [0.064, 0.556, 0.000, 0.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1348 | TURN_LEFT: 0.1959 | TURN_RIGHT: 0.1896 | FORWARD_LEFT: 0.1788 | FORWARD_RIGHT: 0.1565 | BACKWARD: 0.1445 | Selected: FORWARD (prob: 0.1348)
Episode 1 | Step 16 | State: [0.064, 0.391, 0.000, 0.000, 1.000, 1.000, 0.744, 1.000] | Action Distribution: FORWARD: 0.1357 | TURN_LEFT: 0.1954 | TURN_RIGHT: 0.1891 | FORWARD_LEFT: 0.1750 | FORWARD_RIGHT: 0.1564 | BACKWARD: 0.1484 | Selected: BACKWARD (prob: 0.1484)
Episode 1 | Step 17 | State: [0.064, 1.000, 0.000, 0.000, 0.692, 0.440, 1.000, 0.216] | Action Distribution: FORWARD: 0.1372 | TURN_LEFT: 0.1981 | TURN_RIGHT: 0.1798 | FORWARD_LEFT: 0.1851 | FORWARD_RIGHT: 0.1698 | BACKWARD: 0.1301 | Selected: BACKWARD (prob: 0.1301)
Episode 1 | Step 18 | State: [0.000, 1.000, 0.000, 0.000, 1.000, 0.727, 1.000, 0.533] | Action Distribution: FORWARD: 0.1323 | TURN_LEFT: 0.2071 | TURN_RIGHT: 0.1786 | FORWARD_LEFT: 0.1844 | FORWARD_RIGHT: 0.1668 | BACKWARD: 0.1308 | Selected: TURN_RIGHT (prob: 0.1786)
Episode 1 | Step 19 | State: [0.064, 1.000, 0.000, 0.000, 0.396, 0.391, 1.000, 0.081] | Action Distribution: FORWARD: 0.1412 | TURN_LEFT: 0.1901 | TURN_RIGHT: 0.1910 | FORWARD_LEFT: 0.1809 | FORWARD_RIGHT: 0.1671 | BACKWARD: 0.1298 | Selected: FORWARD_LEFT (prob: 0.1809)
