Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.032, 0.032, 0.000, 0.000, 0.086, 0.029, 0.299, 0.030] | Action Distribution: FORWARD: 0.1686 | TURN_LEFT: 0.1673 | TURN_RIGHT: 0.1633 | FORWARD_LEFT: 0.1727 | FORWARD_RIGHT: 0.1595 | BACKWARD: 0.1685 | Selected: FORWARD_RIGHT (prob: 0.1595)
Episode 1 | Step 2 | State: [0.032, 0.032, 0.000, 0.000, 0.070, 0.029, 0.293, 0.030] | Action Distribution: FORWARD: 0.1688 | TURN_LEFT: 0.1672 | TURN_RIGHT: 0.1632 | FORWARD_LEFT: 0.1727 | FORWARD_RIGHT: 0.1597 | BACKWARD: 0.1683 | Selected: TURN_RIGHT (prob: 0.1632)
Episode 1 | Step 3 | State: [0.072, 0.032, 0.000, 0.000, 0.029, 0.029, 0.289, 0.059] | Action Distribution: FORWARD: 0.1704 | TURN_LEFT: 0.1666 | TURN_RIGHT: 0.1633 | FORWARD_LEFT: 0.1733 | FORWARD_RIGHT: 0.1580 | BACKWARD: 0.1683 | Selected: TURN_LEFT (prob: 0.1666)
Episode 1 | Step 4 | State: [0.032, 0.032, 0.000, 0.000, 0.070, 0.029, 0.292, 0.030] | Action Distribution: FORWARD: 0.1688 | TURN_LEFT: 0.1672 | TURN_RIGHT: 0.1632 | FORWARD_LEFT: 0.1727 | FORWARD_RIGHT: 0.1597 | BACKWARD: 0.1683 | Selected: TURN_RIGHT (prob: 0.1632)
Episode 1 | Step 5 | State: [0.073, 0.032, 0.000, 0.000, 0.029, 0.029, 0.289, 0.059] | Action Distribution: FORWARD: 0.1704 | TURN_LEFT: 0.1666 | TURN_RIGHT: 0.1634 | FORWARD_LEFT: 0.1733 | FORWARD_RIGHT: 0.1580 | BACKWARD: 0.1683 | Selected: FORWARD_LEFT (prob: 0.1733)
Episode 1 | Step 6 | State: [0.042, 0.032, 0.000, 0.000, 0.089, 0.040, 0.289, 0.067] | Action Distribution: FORWARD: 0.1695 | TURN_LEFT: 0.1670 | TURN_RIGHT: 0.1634 | FORWARD_LEFT: 0.1721 | FORWARD_RIGHT: 0.1595 | BACKWARD: 0.1685 | Selected: FORWARD_LEFT (prob: 0.1721)
Episode 1 | Step 7 | State: [0.032, 0.032, 0.000, 0.000, 0.243, 0.053, 0.289, 0.083] | Action Distribution: FORWARD: 0.1689 | TURN_LEFT: 0.1672 | TURN_RIGHT: 0.1632 | FORWARD_LEFT: 0.1734 | FORWARD_RIGHT: 0.1584 | BACKWARD: 0.1689 | Selected: BACKWARD (prob: 0.1689)
Episode 1 | Step 8 | State: [0.032, 0.032, 0.000, 0.000, 0.134, 0.040, 0.289, 0.030] | Action Distribution: FORWARD: 0.1678 | TURN_LEFT: 0.1673 | TURN_RIGHT: 0.1638 | FORWARD_LEFT: 0.1732 | FORWARD_RIGHT: 0.1592 | BACKWARD: 0.1687 | Selected: TURN_RIGHT (prob: 0.1638)
Episode 1 | Step 9 | State: [0.032, 0.032, 0.000, 0.000, 0.082, 0.036, 0.289, 0.061] | Action Distribution: FORWARD: 0.1694 | TURN_LEFT: 0.1671 | TURN_RIGHT: 0.1633 | FORWARD_LEFT: 0.1722 | FORWARD_RIGHT: 0.1598 | BACKWARD: 0.1682 | Selected: TURN_RIGHT (prob: 0.1633)
Episode 1 | Step 10 | State: [0.064, 0.032, 0.000, 0.000, 0.060, 0.036, 0.289, 0.065] | Action Distribution: FORWARD: 0.1700 | TURN_LEFT: 0.1666 | TURN_RIGHT: 0.1634 | FORWARD_LEFT: 0.1727 | FORWARD_RIGHT: 0.1586 | BACKWARD: 0.1687 | Selected: FORWARD_RIGHT (prob: 0.1586)
Episode 2 | Step 1 | State: [0.132, 0.032, 0.000, 0.000, 0.029, 0.052, 0.289, 0.263] | Action Distribution: FORWARD: 0.1737 | TURN_LEFT: 0.1637 | TURN_RIGHT: 0.1651 | FORWARD_LEFT: 0.1722 | FORWARD_RIGHT: 0.1556 | BACKWARD: 0.1698 | Selected: FORWARD_RIGHT (prob: 0.1556)
Episode 2 | Step 2 | State: [0.167, 0.032, 0.000, 0.000, 0.029, 0.047, 0.289, 0.589] | Action Distribution: FORWARD: 0.1700 | TURN_LEFT: 0.1618 | TURN_RIGHT: 0.1687 | FORWARD_LEFT: 0.1745 | FORWARD_RIGHT: 0.1504 | BACKWARD: 0.1746 | Selected: BACKWARD (prob: 0.1746)
Episode 2 | Step 3 | State: [0.225, 0.032, 0.000, 0.000, 0.029, 0.029, 0.289, 0.278] | Action Distribution: FORWARD: 0.1753 | TURN_LEFT: 0.1645 | TURN_RIGHT: 0.1659 | FORWARD_LEFT: 0.1729 | FORWARD_RIGHT: 0.1508 | BACKWARD: 0.1707 | Selected: FORWARD (prob: 0.1753)
Episode 2 | Step 4 | State: [0.169, 0.032, 0.000, 0.000, 0.029, 0.043, 0.289, 0.579] | Action Distribution: FORWARD: 0.1702 | TURN_LEFT: 0.1619 | TURN_RIGHT: 0.1685 | FORWARD_LEFT: 0.1743 | FORWARD_RIGHT: 0.1506 | BACKWARD: 0.1746 | Selected: FORWARD_LEFT (prob: 0.1743)
