Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.021, 0.021, 0.000, 0.000, 0.057, 0.020, 0.198, 0.020] | Action Distribution: FORWARD: 0.1653 | TURN_LEFT: 0.1695 | TURN_RIGHT: 0.1620 | FORWARD_LEFT: 0.1666 | FORWARD_RIGHT: 0.1717 | BACKWARD: 0.1649 | Selected: TURN_LEFT (prob: 0.1695)
Episode 1 | Step 2 | State: [0.021, 0.021, 0.000, 0.000, 0.075, 0.020, 0.201, 0.020] | Action Distribution: FORWARD: 0.1647 | TURN_LEFT: 0.1694 | TURN_RIGHT: 0.1616 | FORWARD_LEFT: 0.1669 | FORWARD_RIGHT: 0.1724 | BACKWARD: 0.1650 | Selected: TURN_LEFT (prob: 0.1694)
Episode 1 | Step 3 | State: [0.021, 0.021, 0.000, 0.000, 0.092, 0.020, 0.203, 0.020] | Action Distribution: FORWARD: 0.1642 | TURN_LEFT: 0.1694 | TURN_RIGHT: 0.1612 | FORWARD_LEFT: 0.1671 | FORWARD_RIGHT: 0.1729 | BACKWARD: 0.1652 | Selected: TURN_LEFT (prob: 0.1694)
Episode 1 | Step 4 | State: [0.021, 0.021, 0.000, 0.000, 0.089, 0.020, 0.201, 0.020] | Action Distribution: FORWARD: 0.1643 | TURN_LEFT: 0.1693 | TURN_RIGHT: 0.1613 | FORWARD_LEFT: 0.1671 | FORWARD_RIGHT: 0.1727 | BACKWARD: 0.1652 | Selected: TURN_LEFT (prob: 0.1693)
Episode 1 | Step 5 | State: [0.021, 0.021, 0.000, 0.000, 0.085, 0.020, 0.198, 0.020] | Action Distribution: FORWARD: 0.1644 | TURN_LEFT: 0.1693 | TURN_RIGHT: 0.1615 | FORWARD_LEFT: 0.1671 | FORWARD_RIGHT: 0.1726 | BACKWARD: 0.1652 | Selected: TURN_LEFT (prob: 0.1693)
Episode 1 | Step 6 | State: [0.029, 0.021, 0.000, 0.000, 0.068, 0.020, 0.195, 0.020] | Action Distribution: FORWARD: 0.1649 | TURN_LEFT: 0.1695 | TURN_RIGHT: 0.1618 | FORWARD_LEFT: 0.1670 | FORWARD_RIGHT: 0.1720 | BACKWARD: 0.1648 | Selected: TURN_RIGHT (prob: 0.1618)
Episode 1 | Step 7 | State: [0.021, 0.021, 0.000, 0.000, 0.085, 0.020, 0.198, 0.020] | Action Distribution: FORWARD: 0.1644 | TURN_LEFT: 0.1693 | TURN_RIGHT: 0.1615 | FORWARD_LEFT: 0.1670 | FORWARD_RIGHT: 0.1726 | BACKWARD: 0.1652 | Selected: TURN_LEFT (prob: 0.1693)
Episode 1 | Step 8 | State: [0.029, 0.022, 0.000, 0.000, 0.067, 0.020, 0.196, 0.020] | Action Distribution: FORWARD: 0.1649 | TURN_LEFT: 0.1695 | TURN_RIGHT: 0.1618 | FORWARD_LEFT: 0.1670 | FORWARD_RIGHT: 0.1720 | BACKWARD: 0.1648 | Selected: FORWARD_RIGHT (prob: 0.1720)
Episode 1 | Step 9 | State: [0.021, 0.021, 0.000, 0.000, 0.121, 0.020, 0.195, 0.020] | Action Distribution: FORWARD: 0.1635 | TURN_LEFT: 0.1693 | TURN_RIGHT: 0.1607 | FORWARD_LEFT: 0.1674 | FORWARD_RIGHT: 0.1735 | BACKWARD: 0.1656 | Selected: FORWARD_LEFT (prob: 0.1674)
Episode 1 | Step 10 | State: [0.021, 0.047, 0.000, 0.000, 0.168, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1631 | TURN_LEFT: 0.1693 | TURN_RIGHT: 0.1589 | FORWARD_LEFT: 0.1680 | FORWARD_RIGHT: 0.1746 | BACKWARD: 0.1661 | Selected: FORWARD_LEFT (prob: 0.1680)
Episode 2 | Step 1 | State: [0.021, 0.090, 0.000, 0.000, 0.200, 0.174, 0.193, 0.020] | Action Distribution: FORWARD: 0.1644 | TURN_LEFT: 0.1671 | TURN_RIGHT: 0.1570 | FORWARD_LEFT: 0.1670 | FORWARD_RIGHT: 0.1803 | BACKWARD: 0.1643 | Selected: TURN_RIGHT (prob: 0.1570)
Episode 2 | Step 2 | State: [0.021, 0.063, 0.000, 0.000, 0.260, 0.095, 0.193, 0.020] | Action Distribution: FORWARD: 0.1629 | TURN_LEFT: 0.1683 | TURN_RIGHT: 0.1563 | FORWARD_LEFT: 0.1669 | FORWARD_RIGHT: 0.1810 | BACKWARD: 0.1646 | Selected: TURN_RIGHT (prob: 0.1563)
Episode 2 | Step 3 | State: [0.021, 0.040, 0.000, 0.000, 0.292, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1617 | TURN_LEFT: 0.1680 | TURN_RIGHT: 0.1563 | FORWARD_LEFT: 0.1678 | FORWARD_RIGHT: 0.1805 | BACKWARD: 0.1659 | Selected: BACKWARD (prob: 0.1659)
Episode 2 | Step 4 | State: [0.021, 0.021, 0.000, 0.000, 0.154, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1631 | TURN_LEFT: 0.1689 | TURN_RIGHT: 0.1598 | FORWARD_LEFT: 0.1677 | FORWARD_RIGHT: 0.1745 | BACKWARD: 0.1660 | Selected: FORWARD_LEFT (prob: 0.1677)
Episode 2 | Step 5 | State: [0.021, 0.084, 0.000, 0.000, 0.183, 0.085, 0.193, 0.020] | Action Distribution: FORWARD: 0.1640 | TURN_LEFT: 0.1688 | TURN_RIGHT: 0.1581 | FORWARD_LEFT: 0.1668 | FORWARD_RIGHT: 0.1771 | BACKWARD: 0.1652 | Selected: FORWARD_LEFT (prob: 0.1668)
Episode 2 | Step 6 | State: [0.021, 0.101, 0.000, 0.000, 0.211, 0.532, 0.193, 0.020] | Action Distribution: FORWARD: 0.1630 | TURN_LEFT: 0.1628 | TURN_RIGHT: 0.1576 | FORWARD_LEFT: 0.1673 | FORWARD_RIGHT: 0.1912 | BACKWARD: 0.1581 | Selected: TURN_RIGHT (prob: 0.1576)
Episode 2 | Step 7 | State: [0.021, 0.076, 0.000, 0.000, 0.321, 0.500, 0.193, 0.020] | Action Distribution: FORWARD: 0.1634 | TURN_LEFT: 0.1643 | TURN_RIGHT: 0.1549 | FORWARD_LEFT: 0.1656 | FORWARD_RIGHT: 0.1947 | BACKWARD: 0.1572 | Selected: FORWARD_LEFT (prob: 0.1656)
Episode 2 | Step 8 | State: [0.021, 0.079, 0.000, 0.000, 0.259, 1.000, 0.193, 0.020] | Action Distribution: FORWARD: 0.1584 | TURN_LEFT: 0.1561 | TURN_RIGHT: 0.1546 | FORWARD_LEFT: 0.1684 | FORWARD_RIGHT: 0.2080 | BACKWARD: 0.1545 | Selected: FORWARD_RIGHT (prob: 0.2080)
Episode 2 | Step 9 | State: [0.021, 0.066, 0.000, 0.000, 1.000, 1.000, 0.193, 0.027] | Action Distribution: FORWARD: 0.1563 | TURN_LEFT: 0.1632 | TURN_RIGHT: 0.1360 | FORWARD_LEFT: 0.1569 | FORWARD_RIGHT: 0.2420 | BACKWARD: 0.1456 | Selected: TURN_LEFT (prob: 0.1632)
