Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.021, 0.021, 0.000, 0.000, 0.057, 0.020, 0.198, 0.020] | Action Distribution: FORWARD: 0.2632 | TURN_LEFT: 0.1663 | TURN_RIGHT: 0.1319 | FORWARD_LEFT: 0.2584 | FORWARD_RIGHT: 0.1338 | BACKWARD: 0.0463 | Selected: FORWARD_LEFT (prob: 0.2584)
Episode 1 | Step 2 | State: [0.021, 0.021, 0.000, 0.000, 0.099, 0.020, 0.199, 0.020] | Action Distribution: FORWARD: 0.2056 | TURN_LEFT: 0.1531 | TURN_RIGHT: 0.1820 | FORWARD_LEFT: 0.2480 | FORWARD_RIGHT: 0.1312 | BACKWARD: 0.0801 | Selected: FORWARD_LEFT (prob: 0.2480)
Episode 1 | Step 3 | State: [0.021, 0.021, 0.000, 0.000, 0.172, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1075 | TURN_LEFT: 0.1188 | TURN_RIGHT: 0.3189 | FORWARD_LEFT: 0.1360 | FORWARD_RIGHT: 0.1030 | BACKWARD: 0.2159 | Selected: FORWARD_LEFT (prob: 0.1360)
Episode 1 | Step 4 | State: [0.021, 0.043, 0.000, 0.000, 0.247, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0185 | TURN_LEFT: 0.0434 | TURN_RIGHT: 0.4253 | FORWARD_LEFT: 0.0174 | FORWARD_RIGHT: 0.0618 | BACKWARD: 0.4336 | Selected: BACKWARD (prob: 0.4336)
Episode 1 | Step 5 | State: [0.021, 0.021, 0.000, 0.000, 0.152, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1344 | TURN_LEFT: 0.1285 | TURN_RIGHT: 0.2753 | FORWARD_LEFT: 0.1827 | FORWARD_RIGHT: 0.1161 | BACKWARD: 0.1630 | Selected: FORWARD_RIGHT (prob: 0.1161)
Episode 1 | Step 6 | State: [0.021, 0.021, 0.000, 0.000, 0.269, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0145 | TURN_LEFT: 0.0379 | TURN_RIGHT: 0.3682 | FORWARD_LEFT: 0.0104 | FORWARD_RIGHT: 0.0464 | BACKWARD: 0.5226 | Selected: BACKWARD (prob: 0.5226)
Episode 1 | Step 7 | State: [0.021, 0.021, 0.000, 0.000, 0.146, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.1424 | TURN_LEFT: 0.1312 | TURN_RIGHT: 0.2620 | FORWARD_LEFT: 0.1948 | FORWARD_RIGHT: 0.1200 | BACKWARD: 0.1496 | Selected: FORWARD_LEFT (prob: 0.1948)
Episode 1 | Step 8 | State: [0.022, 0.022, 0.000, 0.000, 0.221, 0.019, 0.195, 0.020] | Action Distribution: FORWARD: 0.0464 | TURN_LEFT: 0.0784 | TURN_RIGHT: 0.3963 | FORWARD_LEFT: 0.0489 | FORWARD_RIGHT: 0.0778 | BACKWARD: 0.3520 | Selected: BACKWARD (prob: 0.3520)
Episode 1 | Step 9 | State: [0.021, 0.021, 0.000, 0.000, 0.127, 0.020, 0.195, 0.020] | Action Distribution: FORWARD: 0.1666 | TURN_LEFT: 0.1392 | TURN_RIGHT: 0.2255 | FORWARD_LEFT: 0.2254 | FORWARD_RIGHT: 0.1277 | BACKWARD: 0.1156 | Selected: FORWARD_LEFT (prob: 0.2254)
Episode 1 | Step 10 | State: [0.021, 0.051, 0.000, 0.000, 0.178, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0688 | TURN_LEFT: 0.0886 | TURN_RIGHT: 0.3794 | FORWARD_LEFT: 0.0887 | FORWARD_RIGHT: 0.1144 | BACKWARD: 0.2602 | Selected: TURN_RIGHT (prob: 0.3794)
Episode 2 | Step 1 | State: [0.021, 0.021, 0.000, 0.000, 0.190, 0.020, 0.193, 0.020] | Action Distribution: FORWARD: 0.0815 | TURN_LEFT: 0.1057 | TURN_RIGHT: 0.3556 | FORWARD_LEFT: 0.0961 | FORWARD_RIGHT: 0.0946 | BACKWARD: 0.2665 | Selected: BACKWARD (prob: 0.2665)
